대분류,중분류,소분류,내용,출처
"AI & 기계학습 기초 2","분류 평가 지표","정확도 (Accuracy)","전체 중 맞춘 비율 (불균형 데이터에 한계)", ""
"AI & 기계학습 기초 2","분류 평가 지표","혼동행렬 (Confusion Matrix)","예측과 실제 값의 관계를 행렬 형태로 표현 (분류 문제의 성능 평가 지표)", ""
"AI & 기계학습 기초 2","분류 평가 지표","정밀도 (Precision)","양성이라 판정한 것 중 진짜 양성의 비율", ""
"AI & 기계학습 기초 2","분류 평가 지표","재현율 (Recall/Sensitivity)","진짜 양성 가운데 예측된 양성의 비율", ""
"AI & 기계학습 기초 2","학습의 목적 및 과적합","학습의 목적","테스트 예측(일반화); 처음 보는 데이터에서도 잘 작동해야 함", ""
"AI & 기계학습 기초 2","학습의 목적 및 과적합","오버피팅 (Overfitting)","훈련 데이터의 잡음까지 학습하여 훈련 성능은 높고 테스트 성능이 나빠지는 현상 (모델이 지나치게 복잡)", ""
"AI & 기계학습 기초 2","학습의 목적 및 과적합","언더피팅 (Underfitting)","모델이 너무 단순하거나 학습이 부족하여 중요한 패턴을 놓치는 현상 (훈련 오류와 테스트 오류 모두 큼)", ""
"AI & 기계학습 기초 3","테스트 성능 평가","훈련 오류","모델을 학습시킨 같은 데이터에 적용해 계산한 오류", ""
"AI & 기계학습 기초 3","테스트 성능 평가","테스트 오류","학습에 쓰지 않은 새 관측치에 모델을 적용했을 때의 평균 예측 오류 (일반화 성능 기준)", ""
"AI & 기계학습 기초 3","테스트 성능 평가","재표본화 (Resampling)","데이터를 나눠 여러 번 훈련/평가를 반복해 테스트 오류를 추정하는 대안", ""
"AI & 기계학습 기초 3","검증셋 (Validation Set)","검증셋 방법 (Hold-out)","가용 샘플을 훈련셋과 검증셋으로 무작위 분할", ""
"AI & 기계학습 기초 3","검증셋 (Validation Set)","검증셋의 한계","전체 데이터를 학습했을 때보다 성능이 낮게 추정될 수 있음 (테스트 오류 과대 추정)", ""
"AI & 기계학습 기초 3","K-겹 교차검증","K-fold Cross-Validation","데이터 전체를 크기 동일한 K개 폴드(그룹)로 무작위 분할하여 K번 반복 후 평균 오류로 테스트 오류를 추정", ""
"AI & 기계학습 기초 3","K-겹 교차검증","LOOCV (Leave-One-Out)","K=n일 경우의 교차검증 (관측치 하나만 제외한 나머지를 훈련셋으로 사용)", ""
"AI & 기계학습 기초 3","K-겹 교차검증","장점","데이터 활용성을 높여 일반화 성능을 더 정확히 추정", ""
"AI & 기계학습 기초 4","비지도 학습","비지도 학습 정의","레이블(정답)이 없는 데이터를 통해 데이터의 구조·패턴·집단(잠재 서브그룹)을 찾아내는 학습", ""
"AI & 기계학습 기초 4","비지도 학습","대표 과제","군집화(Clustering), 차원 축소(PCA), 밀도 추정/이상치 탐지", ""
"AI & 기계학습 기초 4","클러스터링","정의","데이터 안에서 하위 집단(클러스터)을 찾는 기법들의 총칭", ""
"AI & 기계학습 기초 4","클러스터링","목표","집단 내부는 서로 유사, 집단 간은 서로 상이하도록 데이터 분할", ""
"AI & 기계학습 기초 4","K-means 클러스터링","특징","클러스터 수 K를 미리 지정해 분할", ""
"AI & 기계학습 기초 4","K-means 클러스터링","핵심 아이디어","클러스터 내부 변동(Within-Cluster Variation)의 합이 최소가 되도록 분할", ""
"AI & 기계학습 기초 4","계층적 군집","특징","K를 사전에 고정하지 않고 전체 구조를 덴드로그램으로 제공 (상향식 병합)", ""
"AI & 기계학습 기초 4","계층적 군집","링크 유형: Single","두 클러스터 내 데이터 쌍별 거리 중 **최소값**을 군집 간 거리로 사용", ""
"AI & 기계학습 기초 4","계층적 군집","링크 유형: Complete","두 클러스터 내 데이터 쌍별 거리 중 **최대값**을 군집 간 거리로 사용", ""
"AI & 기계학습 기초 4","계층적 군집","링크 유형: Average","두 클러스터 내 데이터 쌍별 거리의 **평균**을 군집 간 거리로 사용", ""
"AI & 기계학습 기초 4","클러스터링 시 주의점","스케일링 필요 여부","변수 단위 차이가 클 경우 스케일링(표준화) 필요", ""
